Algorithm,Operations,Time(ms),NegativeCycle,Distances
Tarjan SCC,6,2,624,false,N/A
Topological Sort,6,0,035,false,N/A
DAG Shortest Path,5,0,288,false,[0, 8, 9, 7, 6, 2]
Tarjan SCC,6,0,287,false,N/A
Topological Sort,6,0,011,false,N/A
DAG Shortest Path,6,0,033,false,[0, 6, 7, 6, 8, 7]
Tarjan SCC,6,0,183,false,N/A
Topological Sort,6,0,017,false,N/A
DAG Shortest Path,6,0,034,false,[0, 8, 17, 1, 2, 2]
Tarjan SCC,12,0,394,false,N/A
Topological Sort,12,0,016,false,N/A
DAG Shortest Path,15,0,036,false,[0, 3, 11, 1, 5, 8, 9, 9, 15, 5, 12, 10]
Tarjan SCC,12,0,471,false,N/A
Topological Sort,12,0,014,false,N/A
DAG Shortest Path,12,0,050,false,[0, 6, 8, 10, 14, 7, 10, 19, 14, 11, 10, 11]
Tarjan SCC,12,0,409,false,N/A
Topological Sort,12,0,018,false,N/A
DAG Shortest Path,13,0,042,false,[0, 6, 7, 9, 15, 8, 4, 7, 13, 9, 8, 12]
Tarjan SCC,25,0,894,false,N/A
Topological Sort,25,0,025,false,N/A
DAG Shortest Path,30,0,069,false,[0, 6, 15, 19, 19, 22, 8, 16, 21, 27, 29, 21, 22, 28, 34, 29, 8, 10, 16, 8, 16, 13, 10, 16, 16]
Tarjan SCC,25,0,796,false,N/A
Topological Sort,25,0,025,false,N/A
DAG Shortest Path,39,0,060,false,[0, 5, 12, 17, 24, 31, 35, 21, 23, 29, 30, 7, 16, 21, 23, 11, 16, 20, 28, 12, 19, 7, 15, 15, 14]
Tarjan SCC,25,0,911,false,N/A
Topological Sort,25,0,039,false,N/A
DAG Shortest Path,39,0,089,false,[0, 6, 10, 12, 21, 23, 8, 9, 17, 3, 11, 10, 18, 11, 18, 10, 1, 2, 11, 2, 4, 6, 3, 9, 3]
